Gloss,Instances
Angel,30
White,30
Why Not,30
Wide,30
Wife,30
Young,30
Against,30
Age,30
Agency,30
Airplane,30
Alaska,30
All Day,30
All Over Body,30
Articulate Sign,30
Assign,30
Athlete,30
Atlanta,30
Attention,30
Audience,30
Afternoon,30
Antlers,30
Apart,30
Appointment,30
April,30
Archeology,30
Argue,30
Art,30
Past,30
Pay Off Bills,30
Peanut Butter,30
Pear,30
Not Care,30
Not Mind,30
Not Understand,30
Nothing At All,30
Pageant,30
Pair,30
Parade,30
Parallel,30
Paranoid,30
Park,30
Pass,30
Outside,30
Over,30
Overlook,30
Overnight,30
Pack,30
Zipper,30
Zoom In,30
Ooh,30
Open Book,30
Open Wallet,30
Operate Machine,30
Option,30
Oral,30
Overtake,29
Owl,29
Paint,29
Arrive,29
Agreement,29
Again,29
Amazing,29
Catch Baseball,29
Grandmother,29
Cause,29
Celebrate,29
Change,29
Tree,29
Triple,29
Cherish,29
Chicago,29
To,29
Tear,29
Conflict,29
Clueless,29
Think Expand,29
Thirsty,29
Dart,29
Day,29
Crazy,29
Taste,29
Canoe,29
Cape,29
Car,29
Tv,29
Unicorn,29
Brush,29
Bun,29
Sun,29
Devil,29
Sweet,29
Tablet,29
Steak,29
Doll,29
Stretch Ca,29
Earn,29
Eclipse,29
Down,29
Draw,29
Dribble,29
Expert,29
Faculty,29
Enjoy,29
Escalate,29
Sour,29
Focus,29
Father,29
February,29
Finally,29
Social,29
Videogame,29
Village,29
Bleed,29
Sign Language,29
Forfeit,29
Former,29
France,29
Free,29
French,29
Friend,29
Smoking,29
Shield,29
God,29
Frisk,29
Full,29
Furniture,29
Half Hour,29
Music,29
Sell,29
Several,29
Shampoo,29
Horse,29
Homework,29
Hatbrim,29
Hot Competition,29
Safe,29
Humble,29
Idea,29
Run Faucet,29
High,29
Sandals,29
Remind,29
Replace,29
Let Know,29
Resent,29
Respect,29
Keep,29
Iphone,29
Island,29
Itch,29
Juggle,29
Racecar Track,29
Psychologist,29
Lecture,29
Less,29
Positive,29
Race,29
Light Candle,29
Preacher,29
Adult,29
Moon,29
Light Weight,29
Long Ago,29
Long Time,29
President,29
Press In Mind,29
Process,29
Match,29
Meet,29
Meeting,29
Magic,29
Make Believe,29
Polish,29
Poor,29
Next Down,29
Accident,29
Yeah,29
Perceive,29
Percent,29
Persistent,29
Phone,29
Negative,29
Weather,29
Yay,29
Accomplish,29
Worry,29
Out,28
Ball,28
Hang Clothes,28
Jisaw Puzzle,1
7 Seedsour,1
