gloss,count,files_names
WINDOW,31,WINDOW 1.npy;WINDOW 10.npy;WINDOW 11.npy;WINDOW 12.npy;WINDOW 13.npy;WINDOW 14.npy;WINDOW 15.npy;WINDOW 16.npy;WINDOW 17.npy;WINDOW 18.npy;WINDOW 19.npy;WINDOW 2.npy;WINDOW 20.npy;WINDOW 21.npy;WINDOW 22.npy;WINDOW 23.npy;WINDOW 24.npy;WINDOW 25.npy;WINDOW 26.npy;WINDOW 27.npy;WINDOW 28.npy;WINDOW 29.npy;WINDOW 3.npy;WINDOW 30.npy;WINDOW 31.npy;WINDOW 4.npy;WINDOW 5.npy;WINDOW 6.npy;WINDOW 7.npy;WINDOW 8.npy;WINDOW 9.npy
BUS,31,BUS 1.npy;BUS 10.npy;BUS 11.npy;BUS 12.npy;BUS 13.npy;BUS 14.npy;BUS 15.npy;BUS 16.npy;BUS 17.npy;BUS 18.npy;BUS 19.npy;BUS 2.npy;BUS 20.npy;BUS 21.npy;BUS 22.npy;BUS 23.npy;BUS 24.npy;BUS 25.npy;BUS 26.npy;BUS 27.npy;BUS 28.npy;BUS 29.npy;BUS 3.npy;BUS 30.npy;BUS 31.npy;BUS 4.npy;BUS 5.npy;BUS 6.npy;BUS 7.npy;BUS 8.npy;BUS 9.npy
TRAIN,32,TRAIN 1.npy;TRAIN 10.npy;TRAIN 11.npy;TRAIN 12.npy;TRAIN 13.npy;TRAIN 14.npy;TRAIN 15.npy;TRAIN 16.npy;TRAIN 17.npy;TRAIN 18.npy;TRAIN 19.npy;TRAIN 2.npy;TRAIN 20.npy;TRAIN 21.npy;TRAIN 22.npy;TRAIN 23.npy;TRAIN 24.npy;TRAIN 25.npy;TRAIN 26.npy;TRAIN 27.npy;TRAIN 28.npy;TRAIN 29.npy;TRAIN 3.npy;TRAIN 30.npy;TRAIN 31.npy;TRAIN 32.npy;TRAIN 4.npy;TRAIN 5.npy;TRAIN 6.npy;TRAIN 7.npy;TRAIN 8.npy;TRAIN 9.npy
BICYCLE,30,BICYCLE 1.npy;BICYCLE 10.npy;BICYCLE 11.npy;BICYCLE 12.npy;BICYCLE 13.npy;BICYCLE 14.npy;BICYCLE 15.npy;BICYCLE 16.npy;BICYCLE 17.npy;BICYCLE 18.npy;BICYCLE 19.npy;BICYCLE 2.npy;BICYCLE 20.npy;BICYCLE 21.npy;BICYCLE 22.npy;BICYCLE 23.npy;BICYCLE 24.npy;BICYCLE 25.npy;BICYCLE 26.npy;BICYCLE 27.npy;BICYCLE 28.npy;BICYCLE 29.npy;BICYCLE 3.npy;BICYCLE 30.npy;BICYCLE 4.npy;BICYCLE 5.npy;BICYCLE 6.npy;BICYCLE 7.npy;BICYCLE 8.npy;BICYCLE 9.npy
DRIVE,30,DRIVE 1.npy;DRIVE 10.npy;DRIVE 11.npy;DRIVE 12.npy;DRIVE 13.npy;DRIVE 14.npy;DRIVE 15.npy;DRIVE 16.npy;DRIVE 17.npy;DRIVE 18.npy;DRIVE 19.npy;DRIVE 2.npy;DRIVE 20.npy;DRIVE 21.npy;DRIVE 22.npy;DRIVE 23.npy;DRIVE 24.npy;DRIVE 25.npy;DRIVE 26.npy;DRIVE 27.npy;DRIVE 28.npy;DRIVE 29.npy;DRIVE 3.npy;DRIVE 30.npy;DRIVE 4.npy;DRIVE 5.npy;DRIVE 6.npy;DRIVE 7.npy;DRIVE 8.npy;DRIVE 9.npy
VISIT,30,VISIT 1.npy;VISIT 10.npy;VISIT 11.npy;VISIT 12.npy;VISIT 13.npy;VISIT 14.npy;VISIT 15.npy;VISIT 16.npy;VISIT 17.npy;VISIT 18.npy;VISIT 19.npy;VISIT 2.npy;VISIT 20.npy;VISIT 21.npy;VISIT 22.npy;VISIT 23.npy;VISIT 24.npy;VISIT 25.npy;VISIT 26.npy;VISIT 27.npy;VISIT 28.npy;VISIT 29.npy;VISIT 3.npy;VISIT 30.npy;VISIT 4.npy;VISIT 5.npy;VISIT 6.npy;VISIT 7.npy;VISIT 8.npy;VISIT 9.npy
STAY,30,STAY 1.npy;STAY 10.npy;STAY 11.npy;STAY 12.npy;STAY 13.npy;STAY 14.npy;STAY 15.npy;STAY 16.npy;STAY 17.npy;STAY 18.npy;STAY 19.npy;STAY 2.npy;STAY 20.npy;STAY 21.npy;STAY 22.npy;STAY 23.npy;STAY 24.npy;STAY 25.npy;STAY 26.npy;STAY 27.npy;STAY 28.npy;STAY 29.npy;STAY 3.npy;STAY 30.npy;STAY 4.npy;STAY 5.npy;STAY 6.npy;STAY 7.npy;STAY 8.npy;STAY 9.npy
LEAVE,30,LEAVE 1.npy;LEAVE 10.npy;LEAVE 11.npy;LEAVE 12.npy;LEAVE 13.npy;LEAVE 14.npy;LEAVE 15.npy;LEAVE 16.npy;LEAVE 17.npy;LEAVE 18.npy;LEAVE 19.npy;LEAVE 2.npy;LEAVE 20.npy;LEAVE 21.npy;LEAVE 22.npy;LEAVE 23.npy;LEAVE 24.npy;LEAVE 25.npy;LEAVE 26.npy;LEAVE 27.npy;LEAVE 28.npy;LEAVE 29.npy;LEAVE 3.npy;LEAVE 30.npy;LEAVE 4.npy;LEAVE 5.npy;LEAVE 6.npy;LEAVE 7.npy;LEAVE 8.npy;LEAVE 9.npy
PAPER,31,PAPER 1.npy;PAPER 10.npy;PAPER 11.npy;PAPER 12.npy;PAPER 13.npy;PAPER 14.npy;PAPER 15.npy;PAPER 16.npy;PAPER 17.npy;PAPER 18.npy;PAPER 19.npy;PAPER 2.npy;PAPER 20.npy;PAPER 21.npy;PAPER 22.npy;PAPER 23.npy;PAPER 24.npy;PAPER 25.npy;PAPER 26.npy;PAPER 27.npy;PAPER 28.npy;PAPER 29.npy;PAPER 3.npy;PAPER 30.npy;PAPER 31.npy;PAPER 4.npy;PAPER 5.npy;PAPER 6.npy;PAPER 7.npy;PAPER 8.npy;PAPER 9.npy
PEN,31,PEN 1.npy;PEN 10.npy;PEN 11.npy;PEN 12.npy;PEN 13.npy;PEN 14.npy;PEN 15.npy;PEN 16.npy;PEN 17.npy;PEN 18.npy;PEN 19.npy;PEN 2.npy;PEN 20.npy;PEN 21.npy;PEN 22.npy;PEN 23.npy;PEN 24.npy;PEN 25.npy;PEN 26.npy;PEN 27.npy;PEN 28.npy;PEN 29.npy;PEN 3.npy;PEN 30.npy;PEN 31.npy;PEN 4.npy;PEN 5.npy;PEN 6.npy;PEN 7.npy;PEN 8.npy;PEN 9.npy
PENCIL,31,PENCIL 1.npy;PENCIL 10.npy;PENCIL 11.npy;PENCIL 12.npy;PENCIL 13.npy;PENCIL 14.npy;PENCIL 15.npy;PENCIL 16.npy;PENCIL 17.npy;PENCIL 18.npy;PENCIL 19.npy;PENCIL 2.npy;PENCIL 20.npy;PENCIL 21.npy;PENCIL 22.npy;PENCIL 23.npy;PENCIL 24.npy;PENCIL 25.npy;PENCIL 26.npy;PENCIL 27.npy;PENCIL 28.npy;PENCIL 29.npy;PENCIL 3.npy;PENCIL 30.npy;PENCIL 31.npy;PENCIL 4.npy;PENCIL 5.npy;PENCIL 6.npy;PENCIL 7.npy;PENCIL 8.npy;PENCIL 9.npy
COMPUTER,30,COMPUTER 1.npy;COMPUTER 10.npy;COMPUTER 11.npy;COMPUTER 12.npy;COMPUTER 13.npy;COMPUTER 14.npy;COMPUTER 15.npy;COMPUTER 16.npy;COMPUTER 17.npy;COMPUTER 18.npy;COMPUTER 19.npy;COMPUTER 2.npy;COMPUTER 20.npy;COMPUTER 21.npy;COMPUTER 22.npy;COMPUTER 23.npy;COMPUTER 24.npy;COMPUTER 25.npy;COMPUTER 26.npy;COMPUTER 27.npy;COMPUTER 28.npy;COMPUTER 29.npy;COMPUTER 3.npy;COMPUTER 30.npy;COMPUTER 4.npy;COMPUTER 5.npy;COMPUTER 6.npy;COMPUTER 7.npy;COMPUTER 8.npy;COMPUTER 9.npy
EMAIL,30,EMAIL 1.npy;EMAIL 10.npy;EMAIL 11.npy;EMAIL 12.npy;EMAIL 13.npy;EMAIL 14.npy;EMAIL 15.npy;EMAIL 16.npy;EMAIL 17.npy;EMAIL 18.npy;EMAIL 19.npy;EMAIL 2.npy;EMAIL 20.npy;EMAIL 21.npy;EMAIL 22.npy;EMAIL 23.npy;EMAIL 24.npy;EMAIL 25.npy;EMAIL 26.npy;EMAIL 27.npy;EMAIL 28.npy;EMAIL 29.npy;EMAIL 3.npy;EMAIL 30.npy;EMAIL 4.npy;EMAIL 5.npy;EMAIL 6.npy;EMAIL 7.npy;EMAIL 8.npy;EMAIL 9.npy
WRITE,31,WRITE 1.npy;WRITE 10.npy;WRITE 11.npy;WRITE 12.npy;WRITE 13.npy;WRITE 14.npy;WRITE 15.npy;WRITE 16.npy;WRITE 17.npy;WRITE 18.npy;WRITE 19.npy;WRITE 2.npy;WRITE 20.npy;WRITE 21.npy;WRITE 22.npy;WRITE 23.npy;WRITE 24.npy;WRITE 25.npy;WRITE 26.npy;WRITE 27.npy;WRITE 28.npy;WRITE 29.npy;WRITE 3.npy;WRITE 30.npy;WRITE 31.npy;WRITE 4.npy;WRITE 5.npy;WRITE 6.npy;WRITE 7.npy;WRITE 8.npy;WRITE 9.npy
READ,31,READ 1.npy;READ 10.npy;READ 11.npy;READ 12.npy;READ 13.npy;READ 14.npy;READ 15.npy;READ 16.npy;READ 17.npy;READ 18.npy;READ 19.npy;READ 2.npy;READ 20.npy;READ 21.npy;READ 22.npy;READ 23.npy;READ 24.npy;READ 25.npy;READ 26.npy;READ 27.npy;READ 28.npy;READ 29.npy;READ 3.npy;READ 30.npy;READ 31.npy;READ 4.npy;READ 5.npy;READ 6.npy;READ 7.npy;READ 8.npy;READ 9.npy
TEST,30,TEST 1.npy;TEST 10.npy;TEST 11.npy;TEST 12.npy;TEST 13.npy;TEST 14.npy;TEST 15.npy;TEST 16.npy;TEST 17.npy;TEST 18.npy;TEST 19.npy;TEST 2.npy;TEST 20.npy;TEST 21.npy;TEST 22.npy;TEST 23.npy;TEST 24.npy;TEST 25.npy;TEST 26.npy;TEST 27.npy;TEST 28.npy;TEST 29.npy;TEST 3.npy;TEST 30.npy;TEST 4.npy;TEST 5.npy;TEST 6.npy;TEST 7.npy;TEST 8.npy;TEST 9.npy
CLASS,30,CLASS 1.npy;CLASS 10.npy;CLASS 11.npy;CLASS 12.npy;CLASS 13.npy;CLASS 14.npy;CLASS 15.npy;CLASS 16.npy;CLASS 17.npy;CLASS 18.npy;CLASS 19.npy;CLASS 2.npy;CLASS 20.npy;CLASS 21.npy;CLASS 22.npy;CLASS 23.npy;CLASS 24.npy;CLASS 25.npy;CLASS 26.npy;CLASS 27.npy;CLASS 28.npy;CLASS 29.npy;CLASS 3.npy;CLASS 30.npy;CLASS 4.npy;CLASS 5.npy;CLASS 6.npy;CLASS 7.npy;CLASS 8.npy;CLASS 9.npy
MEETING,29,MEETING 1.npy;MEETING 10.npy;MEETING 11.npy;MEETING 12.npy;MEETING 13.npy;MEETING 14.npy;MEETING 15.npy;MEETING 16.npy;MEETING 17.npy;MEETING 18.npy;MEETING 19.npy;MEETING 2.npy;MEETING 20.npy;MEETING 21.npy;MEETING 22.npy;MEETING 23.npy;MEETING 24.npy;MEETING 25.npy;MEETING 26.npy;MEETING 27.npy;MEETING 28.npy;MEETING 29.npy;MEETING 3.npy;MEETING 4.npy;MEETING 5.npy;MEETING 6.npy;MEETING 7.npy;MEETING 8.npy;MEETING 9.npy
CHAIR,30,CHAIR 1.npy;CHAIR 10.npy;CHAIR 11.npy;CHAIR 12.npy;CHAIR 13.npy;CHAIR 14.npy;CHAIR 15.npy;CHAIR 16.npy;CHAIR 17.npy;CHAIR 18.npy;CHAIR 19.npy;CHAIR 2.npy;CHAIR 20.npy;CHAIR 21.npy;CHAIR 22.npy;CHAIR 23.npy;CHAIR 24.npy;CHAIR 25.npy;CHAIR 26.npy;CHAIR 27.npy;CHAIR 28.npy;CHAIR 29.npy;CHAIR 3.npy;CHAIR 30.npy;CHAIR 4.npy;CHAIR 5.npy;CHAIR 6.npy;CHAIR 7.npy;CHAIR 8.npy;CHAIR 9.npy
TABLE,30,TABLE 1.npy;TABLE 10.npy;TABLE 11.npy;TABLE 12.npy;TABLE 13.npy;TABLE 14.npy;TABLE 15.npy;TABLE 16.npy;TABLE 17.npy;TABLE 18.npy;TABLE 19.npy;TABLE 2.npy;TABLE 20.npy;TABLE 21.npy;TABLE 22.npy;TABLE 23.npy;TABLE 24.npy;TABLE 25.npy;TABLE 26.npy;TABLE 27.npy;TABLE 28.npy;TABLE 29.npy;TABLE 3.npy;TABLE 30.npy;TABLE 4.npy;TABLE 5.npy;TABLE 6.npy;TABLE 7.npy;TABLE 8.npy;TABLE 9.npy
COFFEE,30,COFFEE 1.npy;COFFEE 10.npy;COFFEE 11.npy;COFFEE 12.npy;COFFEE 13.npy;COFFEE 14.npy;COFFEE 15.npy;COFFEE 16.npy;COFFEE 17.npy;COFFEE 18.npy;COFFEE 19.npy;COFFEE 2.npy;COFFEE 20.npy;COFFEE 21.npy;COFFEE 22.npy;COFFEE 23.npy;COFFEE 24.npy;COFFEE 25.npy;COFFEE 26.npy;COFFEE 27.npy;COFFEE 28.npy;COFFEE 29.npy;COFFEE 3.npy;COFFEE 30.npy;COFFEE 4.npy;COFFEE 5.npy;COFFEE 6.npy;COFFEE 7.npy;COFFEE 8.npy;COFFEE 9.npy
TEA,30,TEA 1.npy;TEA 10.npy;TEA 11.npy;TEA 12.npy;TEA 13.npy;TEA 14.npy;TEA 15.npy;TEA 16.npy;TEA 17.npy;TEA 18.npy;TEA 19.npy;TEA 2.npy;TEA 20.npy;TEA 21.npy;TEA 22.npy;TEA 23.npy;TEA 24.npy;TEA 25.npy;TEA 26.npy;TEA 27.npy;TEA 28.npy;TEA 29.npy;TEA 3.npy;TEA 30.npy;TEA 4.npy;TEA 5.npy;TEA 6.npy;TEA 7.npy;TEA 8.npy;TEA 9.npy
TIME,31,TIME 1.npy;TIME 10.npy;TIME 11.npy;TIME 12.npy;TIME 13.npy;TIME 14.npy;TIME 15.npy;TIME 16.npy;TIME 17.npy;TIME 18.npy;TIME 19.npy;TIME 2.npy;TIME 20.npy;TIME 21.npy;TIME 22.npy;TIME 23.npy;TIME 24.npy;TIME 25.npy;TIME 26.npy;TIME 27.npy;TIME 28.npy;TIME 29.npy;TIME 3.npy;TIME 30.npy;TIME 31.npy;TIME 4.npy;TIME 5.npy;TIME 6.npy;TIME 7.npy;TIME 8.npy;TIME 9.npy
NIGHT,62,NIGHT 1.npy;NIGHT 10.npy;NIGHT 11.npy;NIGHT 12.npy;NIGHT 13.npy;NIGHT 14.npy;NIGHT 15.npy;NIGHT 16.npy;NIGHT 17.npy;NIGHT 18.npy;NIGHT 19.npy;NIGHT 2.npy;NIGHT 20.npy;NIGHT 21.npy;NIGHT 22.npy;NIGHT 23.npy;NIGHT 24.npy;NIGHT 25.npy;NIGHT 26.npy;NIGHT 27.npy;NIGHT 28.npy;NIGHT 29.npy;NIGHT 3.npy;NIGHT 30.npy;NIGHT 31.npy;NIGHT 32.npy;NIGHT 33.npy;NIGHT 34.npy;NIGHT 35.npy;NIGHT 36.npy;NIGHT 37.npy;NIGHT 38.npy;NIGHT 39.npy;NIGHT 4.npy;NIGHT 40.npy;NIGHT 41.npy;NIGHT 42.npy;NIGHT 43.npy;NIGHT 44.npy;NIGHT 45.npy;NIGHT 46.npy;NIGHT 47.npy;NIGHT 48.npy;NIGHT 49.npy;NIGHT 5.npy;NIGHT 50.npy;NIGHT 51.npy;NIGHT 52.npy;NIGHT 53.npy;NIGHT 54.npy;NIGHT 55.npy;NIGHT 56.npy;NIGHT 57.npy;NIGHT 58.npy;NIGHT 59.npy;NIGHT 6.npy;NIGHT 60.npy;NIGHT 61.npy;NIGHT 62.npy;NIGHT 7.npy;NIGHT 8.npy;NIGHT 9.npy
DRINK,61,DRINK 1.npy;DRINK 10.npy;DRINK 11.npy;DRINK 12.npy;DRINK 13.npy;DRINK 14.npy;DRINK 15.npy;DRINK 16.npy;DRINK 17.npy;DRINK 18.npy;DRINK 19.npy;DRINK 2.npy;DRINK 20.npy;DRINK 21.npy;DRINK 22.npy;DRINK 23.npy;DRINK 24.npy;DRINK 25.npy;DRINK 26.npy;DRINK 27.npy;DRINK 28.npy;DRINK 29.npy;DRINK 3.npy;DRINK 30.npy;DRINK 31.npy;DRINK 32.npy;DRINK 33.npy;DRINK 34.npy;DRINK 35.npy;DRINK 36.npy;DRINK 37.npy;DRINK 38.npy;DRINK 39.npy;DRINK 4.npy;DRINK 40.npy;DRINK 41.npy;DRINK 42.npy;DRINK 43.npy;DRINK 44.npy;DRINK 45.npy;DRINK 46.npy;DRINK 47.npy;DRINK 48.npy;DRINK 49.npy;DRINK 5.npy;DRINK 50.npy;DRINK 51.npy;DRINK 52.npy;DRINK 53.npy;DRINK 54.npy;DRINK 55.npy;DRINK 56.npy;DRINK 57.npy;DRINK 58.npy;DRINK 59.npy;DRINK 6.npy;DRINK 60.npy;DRINK 61.npy;DRINK 7.npy;DRINK 8.npy;DRINK 9.npy
UNDERSTAND,32,UNDERSTAND 1.npy;UNDERSTAND 10.npy;UNDERSTAND 11.npy;UNDERSTAND 12.npy;UNDERSTAND 13.npy;UNDERSTAND 14.npy;UNDERSTAND 15.npy;UNDERSTAND 16.npy;UNDERSTAND 17.npy;UNDERSTAND 18.npy;UNDERSTAND 19.npy;UNDERSTAND 2.npy;UNDERSTAND 20.npy;UNDERSTAND 21.npy;UNDERSTAND 22.npy;UNDERSTAND 23.npy;UNDERSTAND 24.npy;UNDERSTAND 25.npy;UNDERSTAND 26.npy;UNDERSTAND 27.npy;UNDERSTAND 28.npy;UNDERSTAND 29.npy;UNDERSTAND 3.npy;UNDERSTAND 30.npy;UNDERSTAND 31.npy;UNDERSTAND 32.npy;UNDERSTAND 4.npy;UNDERSTAND 5.npy;UNDERSTAND 6.npy;UNDERSTAND 7.npy;UNDERSTAND 8.npy;UNDERSTAND 9.npy
EAT,63,EAT 1_EAT.npy;EAT 10_EAT.npy;EAT 11_EAT.npy;EAT 12_EAT.npy;EAT 13_EAT.npy;EAT 14_EAT.npy;EAT 15_EAT.npy;EAT 16_EAT.npy;EAT 17_EAT.npy;EAT 18_EAT.npy;EAT 19_EAT.npy;EAT 2_EAT.npy;EAT 20_EAT.npy;EAT 21_EAT.npy;EAT 22_EAT.npy;EAT 23_EAT.npy;EAT 24_EAT.npy;EAT 25_EAT.npy;EAT 26_EAT.npy;EAT 27_EAT.npy;EAT 28_EAT.npy;EAT 29_EAT.npy;EAT 3_EAT.npy;EAT 30_EAT.npy;EAT 31_EAT.npy;EAT 32_EAT.npy;EAT 33_EAT.npy;EAT 34_EAT.npy;EAT 35_EAT.npy;EAT 36_EAT.npy;EAT 37_EAT.npy;EAT 38_EAT.npy;EAT 39_EAT.npy;EAT 4_EAT.npy;EAT 40_EAT.npy;EAT 41_EAT.npy;EAT 42_EAT.npy;EAT 43_EAT.npy;EAT 44_EAT.npy;EAT 45_EAT.npy;EAT 46_EAT.npy;EAT 47_EAT.npy;EAT 48_EAT.npy;EAT 49_EAT.npy;EAT 5_EAT.npy;EAT 50_EAT.npy;EAT 51_EAT.npy;EAT 52_EAT.npy;EAT 53_EAT.npy;EAT 54_EAT.npy;EAT 55_EAT.npy;EAT 56_EAT.npy;EAT 57_EAT.npy;EAT 58_EAT.npy;EAT 59_EAT.npy;EAT 6_EAT.npy;EAT 60_EAT.npy;EAT 61_EAT.npy;EAT 62_EAT.npy;EAT 63_EAT.npy;EAT 7_EAT.npy;EAT 8_EAT.npy;EAT 9_EAT.npy
CHAT,31,CHAT 1.npy;CHAT 10.npy;CHAT 11.npy;CHAT 12.npy;CHAT 13.npy;CHAT 14.npy;CHAT 15.npy;CHAT 16.npy;CHAT 17.npy;CHAT 18.npy;CHAT 19.npy;CHAT 2.npy;CHAT 20.npy;CHAT 21.npy;CHAT 22.npy;CHAT 23.npy;CHAT 24.npy;CHAT 25.npy;CHAT 26.npy;CHAT 27.npy;CHAT 28.npy;CHAT 29.npy;CHAT 3.npy;CHAT 30.npy;CHAT 31.npy;CHAT 4.npy;CHAT 5.npy;CHAT 6.npy;CHAT 7.npy;CHAT 8.npy;CHAT 9.npy
WEEK,31,WEEK 1.npy;WEEK 10.npy;WEEK 11.npy;WEEK 12.npy;WEEK 13.npy;WEEK 14.npy;WEEK 15.npy;WEEK 16.npy;WEEK 17.npy;WEEK 18.npy;WEEK 19.npy;WEEK 2.npy;WEEK 20.npy;WEEK 21.npy;WEEK 22.npy;WEEK 23.npy;WEEK 24.npy;WEEK 25.npy;WEEK 26.npy;WEEK 27.npy;WEEK 28.npy;WEEK 29.npy;WEEK 3.npy;WEEK 30.npy;WEEK 31.npy;WEEK 4.npy;WEEK 5.npy;WEEK 6.npy;WEEK 7.npy;WEEK 8.npy;WEEK 9.npy
MORNING,32,MORNING 1.npy;MORNING 10.npy;MORNING 11.npy;MORNING 12.npy;MORNING 13.npy;MORNING 14.npy;MORNING 15.npy;MORNING 16.npy;MORNING 17.npy;MORNING 18.npy;MORNING 19.npy;MORNING 2.npy;MORNING 20.npy;MORNING 21.npy;MORNING 22.npy;MORNING 23.npy;MORNING 24.npy;MORNING 25.npy;MORNING 26.npy;MORNING 27.npy;MORNING 28.npy;MORNING 29.npy;MORNING 3.npy;MORNING 30.npy;MORNING 31.npy;MORNING 32.npy;MORNING 4.npy;MORNING 5.npy;MORNING 6.npy;MORNING 7.npy;MORNING 8.npy;MORNING 9.npy
PLEASE,31,PLEASE 1.npy;PLEASE 10.npy;PLEASE 11.npy;PLEASE 12.npy;PLEASE 13.npy;PLEASE 14.npy;PLEASE 15.npy;PLEASE 16.npy;PLEASE 17.npy;PLEASE 18.npy;PLEASE 19.npy;PLEASE 2.npy;PLEASE 20.npy;PLEASE 21.npy;PLEASE 22.npy;PLEASE 23.npy;PLEASE 24.npy;PLEASE 25.npy;PLEASE 26.npy;PLEASE 27.npy;PLEASE 28.npy;PLEASE 29.npy;PLEASE 3.npy;PLEASE 30.npy;PLEASE 31.npy;PLEASE 4.npy;PLEASE 5.npy;PLEASE 6.npy;PLEASE 7.npy;PLEASE 8.npy;PLEASE 9.npy
PARENTS,31,PARENTS 1.npy;PARENTS 10.npy;PARENTS 11.npy;PARENTS 12.npy;PARENTS 13.npy;PARENTS 14.npy;PARENTS 15.npy;PARENTS 16.npy;PARENTS 17.npy;PARENTS 18.npy;PARENTS 19.npy;PARENTS 2.npy;PARENTS 20.npy;PARENTS 21.npy;PARENTS 22.npy;PARENTS 23.npy;PARENTS 24.npy;PARENTS 25.npy;PARENTS 26.npy;PARENTS 27.npy;PARENTS 28.npy;PARENTS 29.npy;PARENTS 3.npy;PARENTS 30.npy;PARENTS 31.npy;PARENTS 4.npy;PARENTS 5.npy;PARENTS 6.npy;PARENTS 7.npy;PARENTS 8.npy;PARENTS 9.npy
SORRY,30,SORRY 1.npy;SORRY 10.npy;SORRY 11.npy;SORRY 12.npy;SORRY 13.npy;SORRY 14.npy;SORRY 15.npy;SORRY 16.npy;SORRY 17.npy;SORRY 18.npy;SORRY 19.npy;SORRY 2.npy;SORRY 20.npy;SORRY 21.npy;SORRY 22.npy;SORRY 23.npy;SORRY 24.npy;SORRY 25.npy;SORRY 26.npy;SORRY 27.npy;SORRY 28.npy;SORRY 29.npy;SORRY 3.npy;SORRY 30.npy;SORRY 4.npy;SORRY 5.npy;SORRY 6.npy;SORRY 7.npy;SORRY 8.npy;SORRY 9.npy
FRIDAY,30,FRIDAY 1.npy;FRIDAY 10.npy;FRIDAY 11.npy;FRIDAY 12.npy;FRIDAY 13.npy;FRIDAY 14.npy;FRIDAY 15.npy;FRIDAY 16.npy;FRIDAY 17.npy;FRIDAY 18.npy;FRIDAY 19.npy;FRIDAY 2.npy;FRIDAY 20.npy;FRIDAY 21.npy;FRIDAY 22.npy;FRIDAY 23.npy;FRIDAY 24.npy;FRIDAY 25.npy;FRIDAY 26.npy;FRIDAY 27.npy;FRIDAY 28.npy;FRIDAY 29.npy;FRIDAY 3.npy;FRIDAY 30.npy;FRIDAY 4.npy;FRIDAY 5.npy;FRIDAY 6.npy;FRIDAY 7.npy;FRIDAY 8.npy;FRIDAY 9.npy
GOOD,31,GOOD 1.npy;GOOD 10.npy;GOOD 11.npy;GOOD 12.npy;GOOD 13.npy;GOOD 14.npy;GOOD 15.npy;GOOD 16.npy;GOOD 17.npy;GOOD 18.npy;GOOD 19.npy;GOOD 2.npy;GOOD 20.npy;GOOD 21.npy;GOOD 22.npy;GOOD 23.npy;GOOD 24.npy;GOOD 25.npy;GOOD 26.npy;GOOD 27.npy;GOOD 28.npy;GOOD 29.npy;GOOD 3.npy;GOOD 30.npy;GOOD 31.npy;GOOD 4.npy;GOOD 5.npy;GOOD 6.npy;GOOD 7.npy;GOOD 8.npy;GOOD 9.npy
NO,30,NO 1.npy;NO 10.npy;NO 11.npy;NO 12.npy;NO 13.npy;NO 14.npy;NO 15.npy;NO 16.npy;NO 17.npy;NO 18.npy;NO 19.npy;NO 2.npy;NO 20.npy;NO 21.npy;NO 22.npy;NO 23.npy;NO 24.npy;NO 25.npy;NO 26.npy;NO 27.npy;NO 28.npy;NO 29.npy;NO 3.npy;NO 30.npy;NO 4.npy;NO 5.npy;NO 6.npy;NO 7.npy;NO 8.npy;NO 9.npy
MILK,61,MILK 1.npy;MILK 10.npy;MILK 11.npy;MILK 12.npy;MILK 13.npy;MILK 14.npy;MILK 15.npy;MILK 16.npy;MILK 17.npy;MILK 18.npy;MILK 19.npy;MILK 2.npy;MILK 20.npy;MILK 21.npy;MILK 22.npy;MILK 23.npy;MILK 24.npy;MILK 25.npy;MILK 26.npy;MILK 27.npy;MILK 28.npy;MILK 29.npy;MILK 3.npy;MILK 30.npy;MILK 31.npy;MILK 32.npy;MILK 33.npy;MILK 34.npy;MILK 35.npy;MILK 36.npy;MILK 37.npy;MILK 38.npy;MILK 39.npy;MILK 4.npy;MILK 40.npy;MILK 41.npy;MILK 42.npy;MILK 43.npy;MILK 44.npy;MILK 45.npy;MILK 46.npy;MILK 47.npy;MILK 48.npy;MILK 49.npy;MILK 5.npy;MILK 50.npy;MILK 51.npy;MILK 52.npy;MILK 53.npy;MILK 54.npy;MILK 55.npy;MILK 56.npy;MILK 57.npy;MILK 58.npy;MILK 59.npy;MILK 6.npy;MILK 60.npy;MILK 61.npy;MILK 7.npy;MILK 8.npy;MILK 9.npy
MONEY,62,MONEY 1.npy;MONEY 10.npy;MONEY 11.npy;MONEY 12.npy;MONEY 13.npy;MONEY 14.npy;MONEY 15.npy;MONEY 16.npy;MONEY 17.npy;MONEY 18.npy;MONEY 19.npy;MONEY 2.npy;MONEY 20.npy;MONEY 21.npy;MONEY 22.npy;MONEY 23.npy;MONEY 24.npy;MONEY 25.npy;MONEY 26.npy;MONEY 27.npy;MONEY 28.npy;MONEY 29.npy;MONEY 3.npy;MONEY 30.npy;MONEY 31.npy;MONEY 32.npy;MONEY 33.npy;MONEY 34.npy;MONEY 35.npy;MONEY 36.npy;MONEY 37.npy;MONEY 38.npy;MONEY 39.npy;MONEY 4.npy;MONEY 40.npy;MONEY 41.npy;MONEY 42.npy;MONEY 43.npy;MONEY 44.npy;MONEY 45.npy;MONEY 46.npy;MONEY 47.npy;MONEY 48.npy;MONEY 49.npy;MONEY 5.npy;MONEY 50.npy;MONEY 51.npy;MONEY 52.npy;MONEY 53.npy;MONEY 54.npy;MONEY 55.npy;MONEY 56.npy;MONEY 57.npy;MONEY 58.npy;MONEY 59.npy;MONEY 6.npy;MONEY 60.npy;MONEY 61.npy;MONEY 62.npy;MONEY 7.npy;MONEY 8.npy;MONEY 9.npy
